id,name,brand,category,description
1,Vector Blue Pen,Parker,Stationery,Blue ball pen
2,Jotter Black Pen,Parker,Stationery,Black ball pen
3,Butterflow Pen,Cello,Stationery,Smooth writing ball pen
4,Classmate Notebook,Classmate,Stationery,200 page notebook
5,A4 Notebook,Classmate,Stationery,A4 ruled notebook
6,Geometry Box,Camlin,Stationery,Student geometry box
7,Blue Ball Pen,Reynolds,Stationery,Blue ink ball pen
8,HP 15s Laptop,HP,Laptop,15.6 inch laptop
9,Dell Inspiron 15,Dell,Laptop,15.6 inch laptop
10,Lenovo IdeaPad Slim,Lenovo,Laptop,Slim performance laptop
11,ASUS Vivobook 15,ASUS,Laptop,15.6 inch laptop
12,Samsung Galaxy S25,Samsung,Mobile,Samsung flagship smartphone
13,iPhone 17,Apple,Mobile,Apple smartphone
14,Samsung Galaxy Buds,Samsung,Earbuds,Wireless earbuds
15,Apple AirPods,Apple,Earbuds,Wireless Apple earbuds
16,Samsung 55 Inch TV,Samsung,Television,55 inch smart TV
17,Nike Air Max,Nike,Shoes,Running shoes
18,Nike Revolution,Nike,Shoes,Lightweight running shoes
19,Adidas Ultraboost,Adidas,Shoes,Premium running shoes
20,Puma Running Shoes,Puma,Shoes,Sports running shoes
21,Bata Formal Shoes,Bata,Shoes,Formal leather shoes
22,Lego City Set,Lego,Toys,City building toy set
23,Hot Wheels Car,Hot Wheels,Toys,Die cast toy car
24,Barbie Doll,Barbie,Toys,Fashion doll
25,Nike Sports T-Shirt,Nike,Clothing,Sports cotton t-shirt
26,Adidas Hoodie,Adidas,Clothing,Sports hoodie
27,Levi's 511 Jeans,Levi's,Clothing,Slim fit jeans
28,H&M Casual Shirt,H&M,Clothing,Casual cotton shirt
29,Raymond Formal Shirt,Raymond,Clothing,Formal office shirt
30,Decathlon Football,Decathlon,Sports,Size 5 football
31,Decathlon Cricket Bat,Decathlon,Sports,English willow cricket bat
32,Archies Greeting Card,Archies,Gifts,Birthday greeting card
33,Chocolate Gift Box,Cadbury,Gifts,Assorted chocolate gift box
34,Starbucks Coffee,Starbucks,Beverage,Premium coffee
35,KFC Chicken Burger,KFC,Food,Chicken burger
36,Dominos Margherita Pizza,Dominos,Food,Classic cheese pizza
37,Subway Veg Sandwich,Subway,Food,Vegetarian sandwich
38,Pizza Hut Cheese Pizza,Pizza Hut,Food,Cheese pizza
39,Samsung Galaxy Watch,Samsung,Wearable,Smart fitness watch
40,Apple Watch Series,Apple,Wearable,Apple smartwatch
41,HP Wireless Mouse,HP,Accessories,Wireless computer mouse
42,Logitech Keyboard,Logitech,Accessories,Wireless keyboard
43,Sony Bluetooth Speaker,Sony,Audio,Portable Bluetooth speaker
44,JBL Headphones,JBL,Audio,Wireless headphones
45,Nike Sports Shorts,Nike,Clothing,Sports training shorts
46,Adidas Sports Cap,Adidas,Accessories,Sports baseball cap
47,Puma Backpack,Puma,Bags,Sports backpack
48,Decathlon Yoga Mat,Decathlon,Sports,Exercise yoga mat
49,Raymond Blazer,Raymond,Clothing,Formal business blazer
50,Archies Teddy Bear,Archies,Gifts,Soft teddy bear
